text,label
"Government announces new education policy for universities",1
"Scientists confirm water found on Mars by NASA",1
"WHO releases official health guidelines for winter season",1
"Supreme court passes new constitutional amendment",1
"Official economic survey released by finance ministry",1
"Breaking: Aliens secretly control world governments",0
"Shocking truth doctors don't want you to know",0
"Miracle cure discovered that works instantly for all diseases",0
"Celebrity reveals secret trick to become rich overnight",0
"Government hiding truth about mind control technology",0
"Aliens secretly control world governments through satellites",0
"Secret alien technology used by leaders to manipulate humans",0
"Government working with aliens to control population",0
